Facility ID,Organisation Name,Facility Name,Province,City,Address,Postal Code,NPRI ID,2014 GHG Emissions (kilotonnes of carbon dioxide equivalent),Facility GHG Data Link,NAICS Name,NAICS Data Link,Latitude,Longitude
43,Carmeuse Lime Canada,Northern Lime Limited,Ontario,Blind River,17 Highway 17 Highway East,P0R1B0,10138,135.19,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10043,Lime Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=327410,46.1982,-82.6989
44,Canadian Fertilizers Limited,Canadian Fertilizers Limited,Alberta,Medicine Hat,1250 52nd Street Northwest,T1A7R9,3821,1566.23,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10044,Chemical Fertilizer (except Potash) Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=325313,50.0866,-110.7167
45,Cancarb Ltd.,Cancarb Ltd.,Alberta,Medicine Hat,1702 Brier Park Crescent Northwest,T1C1T9,5357,158.73,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10045,All Other Basic Inorganic Chemical Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=325189,50.0582,-110.7282
46,Nova Gas Transmission Ltd.,"TransCanada Pipeline, Alberta System",Alberta,Fairview,05-23-081-26-W5,T0H1L0,,2704.31,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10046,Pipeline Transportation of Natural Gas,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=486210,0,0
47,"Cardinal Power of Canada, L.P.",Cardinal Power,Ontario,Cardinal,170 Henry Street,K0E1E0,4480,421.92,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10047,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=221112,44.7846,-75.3773
48,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,British Columbia,Quesnel,50 North Star Road,V2J3J6,479,111.81,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10048,Chemical Pulp Mills,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=322112,52.998,-122.483
50,Carmeuse Lime Canada,Dundas Operations,Ontario,Dundas,600 highway # 5 Highway West,L9H3S9,10139,404.53,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10050,Lime Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=327410,43.3521,-79.8679
51,Carmeuse Lime Canada,Beachville Operation,Ontario,Ingersoll,374681 Oxford County 6 Road,N5C3K5,10140,458.59,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10051,Lime Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=327410,43.0687,-80.858
52,Iron Ore Company of Canada,Carol Project,Newfoundland and Labrador,Labrador City,2 Avalon Street,A2V2Y6,5013,893.97,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10052,Iron Ore Mining,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=212210,52.9565,-66.8936
53,Agrium Inc.,Carseland Nitrogen Operations,Alberta,Carseland,26501 221 Township Road,T0J0M0,3269,479.3,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2014&amp;ghg_id=G10053,Chemical Fertilizer (except Potash) Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVDDetail&amp;db=imdb&amp;dis=2&amp;adm=8&amp;TVD=118464&amp;CVD=118471&amp;CST=01012012&amp;MLV=5&amp;CLV=5&amp;CHVD=&amp;CPV=325313,50.8458,-113.5867
